0
[  32.71157552 -117.11795903]
[  32.60828339 -117.02796014]
[  32.75718426 -117.11787633]
[  32.8810735  -117.17142434]
[  32.74784341 -117.106947  ]
[  32.7452428  -117.06061012]
[  32.55682383 -116.9359623 ]
[  32.61518851 -117.09004743]
[  32.6983 -117.1476]
[  32.75327272 -117.11368747]
[  32.79298045 -117.09578929]
[  32.80727722 -117.21933146]
[  32.74475861 -117.1875534 ]
[  32.68295841 -117.03199226]
[  32.8213715  -117.18296067]
[  32.91852588 -117.13026999]
[  32.5838523  -117.09269452]
[  32.754  -117.1388]
[  32.59935003 -117.06907067]
[  32.72246479 -117.08493916]
[  32.79366252 -117.25461106]
[  33.21720111 -117.22628509]
[  32.78489956 -117.17146403]
[  32.69678931 -117.09369278]
[  32.75497902 -117.23621979]
[  32.7179747  -117.15381731]
[  32.74507589 -117.19873642]
[  32.73653023 -117.16125014]
[  32.7351682  -117.10104862]
[  32.71598402 -117.04563404]
[  32.65975722 -116.94136919]
[  32.9163295  -117.23718853]
[  32.88056636 -117.11221402]
[  32.78014 -117.10148]
[  32.73651522 -117.10102576]
[  32.69144663 -117.05407572]
[  33.14814904 -117.1992579 ]
[  32.771992   -117.13694488]
[  32.65867504 -117.06349393]
[  33.12980495 -117.16490617]
[  32.75526947 -117.14136785]
[  32.63053234 -116.96524319]
[  32.76967801 -117.14378848]
[  32.59472673 -117.04450937]
[  33.02110414 -117.06783891]
[  32.87686992 -117.18388027]
[  32.76103042 -117.13021341]
[  33.14008348 -117.14176309]
[  33.12133566 -117.2196316 ]
[  32.6252488  -117.05532599]
[  33.14125803 -117.16379197]
[  32.74846543 -117.13465755]
[  32.62751849 -117.08811621]
[  33.00410692 -117.05788964]
[  33.16115529 -117.33109847]
[  32.7177827  -117.02589366]
[  32.78803335 -117.08640877]
[  33.13366655 -117.24421584]
[  32.9028095  -117.18529093]
[  32.74970953 -117.1118832 ]
[  33.15975608 -117.34885351]
[  32.82230416 -117.12868414]
[  33.13019446 -117.24701737]
[  32.82052012 -117.16709603]
[  32.72752853 -117.14769497]
[  33.06706439 -117.2556565 ]
[  33.15801339 -117.3509333 ]
[  33.14330588 -117.09616137]
[  33.13584 -117.0804 ]
[  33.13977 -117.09332]
[  32.94870827 -117.24765497]
[  33.12028122 -117.2817993 ]
[  32.87758203 -117.21404435]
[  32.82235356 -117.12470362]
[  32.6758615 -117.0402911]
[  33.12759 -117.08179]
[  33.21667623 -117.25126625]
[  33.1453648  -117.24096083]
[  33.21462333 -117.25270476]
[  33.1219738  -117.31351612]
[  32.73098346 -117.22977281]
[  33.21413239 -117.25231075]
[  32.63095426 -117.07588083]
[  32.93423855 -117.23802554]
[  33.18269004 -117.24227758]
[  33.19680019 -117.24321734]
[  33.22643436 -117.23863158]
[  33.20217951 -117.24426045]
[  33.20515337 -117.25964311]
[  33.2172405  -117.23082236]
[  32.7006651  -117.14508062]
[  32.61962854 -117.08894655]
[  33.20228718 -117.24385512]
[  32.67472018 -117.10532366]
[  32.61019282 -117.05418603]
[  33.21580466 -117.21965799]
[  32.68170803 -117.10923929]
[  33.21447 -117.32836]
[  33.20353211 -117.24160869]
[  32.6396484  -117.05852022]
[  33.18783426 -117.27957235]
[  32.83273739 -117.15328304]
[  32.62637219 -117.07859259]
[  32.61329972 -117.06896792]
[  32.62952731 -116.97939755]
[  32.64815565 -117.06680304]
